keys,en
STATUS_CAMERA_PERMISSION,"Scanima needs camera access. Tap Scan again to grant permission."
STATUS_CAMERA_ERROR,"The camera could not be opened. Please try again."
STATUS_PHOTO_READ_ERROR,"That image could not be opened."
STATUS_PHOTO_TOO_LARGE,"That photo is %s. The limit is 6 MB."
STATUS_UPLOADING,"Uploading your photo…"
STATUS_UPLOAD_ERROR,"The upload failed. Check your connection and try again."
STATUS_ANALYZING,"Analyzing your object…"
STATUS_NO_SCAN_CHARGE,"You're out of Scans. Come back tomorrow or earn another Scan."
STATUS_NO_CORE,"New species found, but you need a Genesis Core. Your discovery has been saved."
STATUS_SPEND_CAP,"Today's discovery limit has been reached. Please try again tomorrow."
STATUS_SCAN_ERROR,"The scan could not be completed. Please try again."
STATUS_GATE_REJECTED,"We couldn't use this photo because %s. Try a clear photo of one object."
STATUS_MISSING_ANIMA_ID,"The discovery started, but its Anima could not be found. Please try again later."
STATUS_SYNTHESIZING,"Shaping a new digital soul…"
STATUS_GENERATION_FAILED,"The artwork could not be created. Your Genesis Core was returned."
STATUS_GENERATION_PENDING,"Still awakening. You can return later—your progress is saved."
STATUS_SPECIES_DATA_ERROR,"The species data is incomplete. Please try again."
STATUS_DOWNLOADING_ART,"Bringing your Anima home…"
STATUS_ART_LIBRARY_ERROR,"This Anima's artwork is not ready yet."
STATUS_ART_DOWNLOAD_ERROR,"The artwork could not be downloaded. Check your connection."
STATUS_ART_SAVE_ERROR,"The artwork could not be saved on this device."
STATUS_ART_LOAD_ERROR,"The artwork could not be displayed."
STATUS_HATCHED,"Your Anima has awakened!"
STATUS_ANIMA_READY,"%s is ready to play."
STATUS_ANIMA_SLEEPING,"%s is sleeping."
STATUS_INCUBATOR_DEMO,"Shaping a new digital soul…"
STATUS_HATCH_DEMO_MISSING,"The hatch preview needs a cached Anima."
STATUS_HATCH_DEMO_DONE,"Hatch preview complete."
FILE_DIALOG_TITLE,"Choose an object photo"
FILE_DIALOG_ACCEPT,"Use This Photo"
FILE_DIALOG_FILTER,"Object photos"
FORMAT_PERCENT,"%s%%"
FORMAT_MEGABYTES,"%s MB"
FORMAT_RATIO,"%s / %s"
